location,code,wardId
08W-52-01,072296D2BA9F,171232
08W-53-01,07229612BA93,171232
08W-53-02,070E0FCBBA99,171232
08W-53-03,070E0FC6BA94,171232
08W-54-01,070C1BEBBA9C,171232
08W-54-02,070C1BE5BA92,171232
08W-54-03,070C1BEEBA99,171232
08W-54-04,070C1BECBA9B,171232
08W-54-05,070C1C00BA9E,171232
08W-54-06,070C1C27BA9B,171232
08W-55-01,070E0FB7BA92,171232
08W-55-02,070E0F71BA98,171232
08W-55-03,070C1BF3BA95,171232
08W-55-04,070C1BFDBA9B,171232
08W-55-05,070C1C1BBA94,171232
08W-55-06,070E0F58BA93,171232
08W-56-01,070C1C0CBA92,171232
08W-56-02,070E0F59BA92,171232
08W-56-03,070C1C08BA96,171232
08W-56-04,070C1C03BA9D,171232
08W-56-05,070C1C0DBA93,171232
08W-56-06,070C1C06BA98,171232
08W-57-01,06FF319DBA98,171232
08W-57-02,06FF3198BA9D,171232
08W-57-03,06FF31AEBA98,171232
08W-57-04,06FF3185BA91,171232
08W-57-05,06FF319FBA9A,171232
08W-58-01,06FF3190BA95,171232
08W-58-02,06FE33DBBA99,171232
08W-58-03,06FF3181BA95,171232
08W-58-04,06FF3180BA94,171232
08W-58-05,06FE33E6BA97,171232
08W-59-01,06FE33E2BA93,171232
08W-59-02,06FE33E7BA96,171232
08W-60-01,06FF3183BA97,171232
08W-60-02,06FE33E9BA98,171232
08W-61-01,06FF3184BA90,171232
08W-61-02,06FE33DCBA9E,171232
08W-62-01,06FF3186BA92,171232
08W-62-02,06FE33D6BA94,171232
08W-63-01,06FE33E3BA92,171232
08W-63-02,06FE33E1BA90,171232
08W-64-01,06FE3316BA98,171232
08W-65-01,06FE330DBA92,171232
08W-99-99,06FE3315BA9B,171232
