location,code,wardId
08E-01-01,06FE328DBA9B,171132
08E-02-01,06FF318DBA99,171132
08E-04-01,06FE330EBA91,171132
08E-04-02,06FE3313BA9D,171132
08E-04-03,06FF3B49BA9B,171132
08E-04-04,06FE33A5BA90,171132
08E-04-05,06FF3B4ABA98,171132
08E-04-06,06FE33A9BA9C,171132
08E-05-01,06FE3398BA9E,171132
08E-05-02,06FF3B4CBA9E,171132
08E-05-03,06FF3B48BA9A,171132
08E-05-04,06FE33A3BA96,171132
08E-05-05,06FE32F6BA97,171132
08E-05-06,06FE33B4BA90,171132
08E-06-01,06FE33A4BA91,171132
08E-06-02,06FE32F9BA98,171132
08E-06-03,06FE33AEBA9B,171132
08E-06-04,06FE33ACBA99,171132
08E-06-05,06FE339DBA9B,171132
08E-06-06,06FE33B3BA97,171132
08E-07-01,0722966DBA9B,171132
08E-07-02,0722960EBA9E,171132
08E-07-03,0722961DBA9C,171132
08E-07-04,072296C2BA9E,171132
08E-07-05,072296BABA91,171132
08E-08-01,072296D0BA9D,171132
08E-08-02,07229696BA9F,171132
08E-09-01,0722961EBA9F,171132
08E-09-02,07229611BA90,171132
08E-10-01,072297A6BA9D,171132
08E-10-02,0722965CBA99,171132
08E-11-01,07229671BA96,171132
08E-11-02,0722985BBA90,171132
08E-12-01,07229665BA93,171132
08E-12-02,07229663BA95,171132
08E-13-01,07229666BA90,171132
08E-14-01,0722965EBA9B,171132
08E-99-99,0722964ABA9E,171132
