location,code,wardId
09W-51-01,05946D3FBA97,171131
09W-52-01,05946AA3BA95,171131
09W-53-01,05946D11BA9B,171131
09W-53-02,05946A9CBA99,171131
09W-53-03,05946AA0BA96,171131
09W-54-01,05946D52BA9C,171131
09W-54-02,03D63759BA98,171131
09W-54-03,05946D39BA91,171131
09W-54-04,05946E89BA99,171131
09W-54-05,05946D53BA9D,171131
09W-55-01,03D637F8BA93,171131
09W-55-02,05946A9DBA98,171131
09W-55-03,05946D20BA99,171131
09W-55-04,05946A96BA93,171131
09W-55-05,072297B2BA98,171131
09W-55-06,072297B0BA9A,171131
09W-56-01,07229818BA97,171131
09W-56-02,07229832BA9F,171131
09W-56-03,07229837BA9A,171131
09W-56-04,0722981EBA91,171131
09W-56-05,0722983CBA91,171131
09W-56-06,06FE3228BA94,171131
09W-57-01,06FE3249BA93,171131
09W-57-02,070C1B3DBA97,171131
09W-57-03,070E120CBA9E,171131
09W-57-04,070C1BCFBA9A,171131
09W-57-05,070C1B4ABA97,171131
09W-58-01,070C1B40BA9D,171131
09W-58-02,070C1C33BA9E,171131
09W-58-03,070E0F24BA98,171131
09W-58-04,06FE325ABA91,171131
09W-58-05,06FE3388BA9F,171131
09W-59-01,06FE31C9BA98,171131
09W-59-02,06FE3262BA9A,171131
09W-60-01,06FE324EBA94,171131
09W-60-02,06FF31CBBA9B,171131
09W-61-01,06FE32DDBA9E,171131
09W-61-02,06FE3203BA9D,171131
09W-62-01,06FE31FDBA9F,171131
09W-62-02,06FE3216BA99,171131
09W-63-01,070C1B42BA9F,171131
09W-63-02,070C1B41BA9C,171131
09W-64-01,070C1B3CBA96,171131
09W-64-02,070C1B43BA9E,171131
09W-65-01,070C1BB8BA9A,171131
09W-65-02,070E1229BA99,171131
09W-99-99,070C1BBABA98,171131
