location,code,wardId
02P-12-01,070E0F27BA9B,171312
02P-12-02,070E0F6BBA93,171312
02P-12-03,070C1BE0BA97,171312
02P-12-04,070C1BE1BA96,171312
02P-12-05,070E0F3DBA90,171312
02P-12-06,070E0F41BA9B,171312
02P-12-07,070C1BE2BA95,171312
02P-12-08,070E0F63BA9B,171312
02P-12-09,070E0F69BA91,171312
02P-12-10,070E0F67BA9F,171312
02P-12-11,070E0F6CBA94,171312
02P-12-12,06FE31F0BA92,171312
02P-12-13,07229593BA99,171312
02P-12-14,0722956ABA9F,171312
02P-12-15,070C1BE6BA91,171312
02M-11-01,06FE323ABA97,171311
02M-11-02,072296C1BA9D,171311
02M-11-03,072297E4BA9B,171311
02M-11-04,06FE3311BA9F,171311
02M-11-05,072297ADBA96,171311
02M-11-06,07229975BA9D,171311
02M-11-07,07229983BA94,171311
02M-11-08,07229987BA90,171311
02M-11-09,0722983EBA93,171311
02M-11-10,072296DDBA90,171311
02M-11-11,0722998FBA98,171311
02M-11-12,0722997FBA97,171311
02M-11-13,0722997DBA95,171311
02M-11-14,07229977BA9F,171311
02M-11-15,06FE33CFBA9C,171311
02M-11-16,06FF3162BA98,171311
