location,code,wardId
06N-71-01,06FF3167BA9D,171140
06N-71-02,06FE32B9BA9C,171140
06N-71-03,06FE329FBA98,171140
06N-71-04,06FF316CBA96,171140
06N-71-05,06FE32F1BA90,171140
06N-71-06,06FF3165BA9F,171140
06N-71-07,06FE32FEBA9F,171140
06N-71-08,06FE32EDBA9D,171140
06N-71-09,072298D1BA92,171140
06N-71-10,072298D3BA90,171140
06N-71-11,072298DDBA9E,171140
06N-71-12,072297FCBA92,171140
06N-71-13,072298D0BA93,171140
06N-71-14,0722994ABA91,171140
06N-71-15,0722998DBA9A,171140
06N-71-16,072296E6BA98,171140
06N-71-17,072298CBBA99,171140
06N-71-18,072298D2BA91,171140
06N-71-19,07229973BA9B,171140
06N-71-20,0722998BBA9C,171140
06N-71-21,072298C0BA92,171140
06N-71-22,0722997ABA92,171140
06N-71-23,07229998BA9E,171140
06N-71-24,072297AFBA94,171140
06N-71-25,07229995BA93,171140
06N-71-26,07229940BA9B,171140
06N-71-27,0722976DBA9A,171140
06S-81-01,072298D9BA9A,171141
06S-81-02,070C1B5DBA91,171141
06S-81-03,070C1B53BA9F,171141
06S-81-04,070E1224BA94,171141
06S-81-05,070C1B58BA94,171141
06S-81-06,070E120DBA9F,171141
06S-81-07,070E122DBA9D,171141
06S-81-08,070C1C3FBA92,171141
06S-81-09,070C1B57BA9B,171141
06S-81-10,070C1B5CBA90,171141
06S-81-11,070C1B60BA9F,171141
06S-81-12,070C1B2EBA95,171141
06S-81-13,070E121DBA9E,171141
06S-81-14,070C1BCCBA99,171141
06S-81-15,070E122CBA9C,171141
06S-81-16,070C1C40BA9A,171141
06S-81-17,070E1216BA95,171141
06S-81-18,070C1B50BA9C,171141
06S-81-19,070E1223BA93,171141
06S-81-20,070E11D6BA9A,171141
06S-81-21,070C1B64BA9B,171141
06S-81-22,06FE3232BA9F,171141
06S-81-23,06FE3233BA9E,171141
06S-81-24,06FE3270BA99,171141
06S-81-25,06FE3271BA98,171141
06S-81-26,06FE3236BA9B,171141
06S-81-27,06FE3237BA9A,171141
06S-81-28,06FE322FBA93,171141
06S-81-29,06FE3234BA99,171141
06S-81-30,06FE3267BA9F,171141
06S-81-31,06FE3266BA9E,171141
06S-81-32,06FE3269BA91,171137
06E-04-01,06FE3260BA98,171137
06E-04-02,06FE3265BA9D,171137
06E-04-03,06FE326ABA92,171137
06E-04-04,06FE3268BA90,171137
06E-04-05,06FE326BBA93,171137
06E-04-06,06FE322EBA92,171137
06E-05-01,06FE3235BA98,171137
06E-05-02,06FE3231BA9C,171137
06E-05-03,06FE322CBA90,171137
06E-05-04,072295CDBA92,171137
06E-05-05,07229700BA91,171137
06E-06-01,07229614BA95,171137
06E-06-02,072298C1BA93,171137
06E-06-03,072295D0BA9E,171137
06E-06-04,072295C4BA9B,171137
06E-06-05,072295CCBA93,171137
06E-06-06,07229888BA9E,171137
06E-08-01,0722960CBA9C,171137
06E-09-01,072295C7BA98,171137
06E-10-01,07229707BA96,171137
06E-11-01,07229701BA90,171137
06E-12-01,0722977DBA9B,171137
06E-12-02,07229602BA92,171137
06E-13-01,0722997CBA94,171137
06E-13-02,07229603BA93,171137
06E-14-01,07229706BA97,171137
06E-14-02,07229886BA90,171137
06E-99-99,07229702BA93,171137
