location,code,wardId
19S-01-01,070C1B46BA9B,201270
19S-02-01,070E1218BA9B,201270
19S-03-01,070C1B37BA9D,201270
19S-04-01,070C1B4BBA96,201270
19S-05-01,070E0F8DBA9B,201270
19S-06-01,070E0F55BA9E,201270
19S-07-01,070C1BB9BA9B,201270
19S-08-01,070E120FBA9D,201270
19S-09-01,070C1B2FBA94,201270
19S-10-01,070C1B35BA9F,201270
19S-11-01,070E0FB1BA94,201270
19S-12-01,070E0F8FBA99,201270
19S-13-01,070C1B36BA9C,201270
19S-14-01,06FF3173BA98,201270
19S-15-01,06FE329DBA9A,201270
19S-16-01,06FE32A4BA90,201270
19S-17-01,06FE32ACBA98,201270
19S-18-01,06FE32B6BA93,201270
19S-19-01,06FF317BBA90,201270
19S-20-01,06FF3177BA9C,201270
19S-21-01,06FE32F8BA99,201270
19S-22-01,06FF3B58BA9B,201270
19S-23-01,06FE32AEBA9A,201270
19S-24-01,06FF316ABA90,201270
19S-99-99,06FF3B55BA96,201270
