location,code
C07E-24-01,03D5A365BA99
C07E-24-02,03D63800BA9B
C07E-24-03,03D5A375BA98
C07E-24-04,03D5A361BA9D
C07E-24-05,03D63803BA98
C07E-24-06,03D637FEBA95
C07E-25-01,03D637FABA91
C07E-25-02,03D63801BA9A
C07E-25-03,03D5A355BA9A
C07E-25-04,03D5A366BA9A
C07E-25-05,03D5A22EBA97
C07E-25-06,03D5A379BA94
C07E-99-99,03D5A1FABA9D
C07W-51-01,03D63761BA93
C07W-52-01,03D5A2FDBA99
C07W-53-01,03D5A34BBA95
C07W-54-01,03D5A34ABA94
C07W-55-01,03D5A358BA97
C07W-55-02,03D5A360BA9C
C07W-56-01,03D637FFBA94
C07W-56-02,03D5A35BBA94
C07W-57-01,03D63802BA99
C07W-57-02,03D5A336BA9F
C07W-58-01,03D5A34CBA92
C07W-58-02,03D58DACBA90
C07W-59-01,03D58D89BA97
C07W-59-02,03D58DADBA91
C07W-60-01,03D58D95BA9A
C07W-60-02,03D58D8CBA92
C07W-61-01,03D58D8DBA93
C07W-61-02,03D58D96BA99
C07W-71-01,03D62FA6BA91
C07W-71-02,03D62F85BA90
C07W-71-03,03D62FA2BA95
C07W-71-04,03D62FB3BA95
C07W-71-05,03D62F99BA9D
C07W-71-06,03D62F97BA93
C07W-72-01,03D62F84BA91
C07W-72-02,03D62F91BA95
C07W-72-03,03D58D5FBA9C
C07W-72-04,03D58D4BBA99
C07W-72-05,03D58D92BA9D
C07W-72-06,03D58D74BA95
C07W-73-01,03D58D4EBA9C
C07W-73-02,03D58D83BA9D
C07W-73-03,03D58D82BA9C
C07W-73-04,03D58D57BA94
C07W-73-05,03D63170BA95
C07W-73-06,03D63193BA98
C07W-74-01,03D63183BA99
C07W-74-02,03D63186BA9C
C07W-74-03,03D63195BA9E
C07W-74-04,03D63172BA97
C07W-74-05,03D63182BA98
C07W-74-06,03D5A213BA99
C07W-75-01,03D5A21BBA91
C07W-75-02,03D5A204BA9F
C07W-75-03,03D5A1FCBA9B
C07W-75-04,03D5A207BA9C
C07W-75-05,03D5A323BA9B
C07W-75-06,03D5A1F7BA90
C07W-99-99,03D5A1FDBA9A
C08E-01-01,03D62FBABA9C
C08E-02-01,03D62FB9BA9F
C08E-03-01,03D62FD1BA91
C08E-04-01,03D62FBFBA99
C08E-05-01,03D63272BA94
C08E-05-02,03D62F9EBA9A
C08E-06-01,03D58D9FBA90
C08E-06-02,03D58D84BA9A
C08E-07-01,03D62FC6BA97
C08E-07-02,03D62FC5BA94
