location,code,wardId
03S-41-01,06FE330FBA90,171314
03S-41-02,06FE335EBA94,171314
03S-41-03,06FE3282BA94,171314
03S-41-04,06FE3281BA97,171314
03S-41-05,06FE3363BA9A,171314
03S-41-06,06FE3257BA9C,171314
03S-41-07,06FE33CDBA9E,171314
03S-41-08,06FF31B8BA9F,171314
03S-41-09,06FE33BBBA9F,171314
03S-41-10,06FF31BBBA9C,171314
03S-51-01,06FE3280BA96,171314
03S-51-D1,06FE328CBA9A,171314
03PH-11-01,06FE3284BA92,171317
03PH-11-02,06FE3286BA90,171317
03PH-11-03,06FE335FBA95,171317
03PH-11-04,06FE3285BA93,171317
03PH-11-05,06FF3B7CBA9D,171317
03PH-11-06,06FE3303BA9C,171317
03PH-11-07,06E9BD23BA9E,171317
03PH-11-08,06FE336BBA92,171317
03PH-11-09,070E0FC0BA92,171317
03PH-11-10,070E0F34BA99,171317
03PH-11-11,070E0FC1BA93,171317
03N-61-01,070E0FCABA98,171315
03N-61-02,070E0FC9BA9B,171315
03N-61-03,070E0FBFBA9A,171315
03N-61-04,070E0FC8BA9A,171315
03N-61-05,070C1C21BA9D,171315
03N-61-06,070E0FC5BA97,171315
03N-61-07,070E0FC7BA95,171315
03N-61-08,070E0FB5BA90,171315
03N-61-09,070E0F5BBA90,171315
03N-61-10,070E0F6ABA92,171315
03N-61-11,070E0FB8BA9D,171315
03N-61-12,070E0FBBBA9E,171315
03H-31-01,070E0FB6BA93,171316
03H-31-02,070E0FBEBA9B,171316
03H-31-03,070E0FBDBA98,171316
03H-31-04,070E0FC4BA96,171316
03H-31-05,070E0FC2BA90,171316
03H-31-06,070E0F09BA97,171316
03H-31-07,070E0F15BA9A,171316
03H-31-08,070E0F0CBA92,171316
03H-31-09,070E0F2ABA96,171316
03H-31-10,070E0F2BBA97,171316
03H-31-11,070E0F2FBA93,171316
03H-31-12,070E0F2DBA91,171316
03C-13-01,070E0F2CBA90,171313
03C-13-02,070E0F1EBA91,171313
03C-13-03,070E0F06BA98,171313
03C-13-04,070E0F04BA9A,171313
03C-13-05,070E0F31BA9C,171313
03C-13-06,070C1C38BA95,171313
03C-13-07,070C1C39BA94,171313
03C-13-08,070E0F11BA9E,171313
03C-13-09,070C1BDFBA9B,171313
03C-13-10,070E0F4CBA96,171313
03C-13-11,070E0F3ABA97,171313
03C-13-12,070E0F05BA9B,171313
